cluster_id,complaint_count,pending_ratio,high_priority_ratio,medium_or_high_ratio,avg_density_score,risk_score,risk_level,dominant_category,center_lat,center_lng
48,12,1.0,1.0,1.0,0.9166887992683342,0.9666755197073338,HIGH,Streetlight,40.788571744380185,-73.78363776417295
75,10,0.6,0.6,0.6,0.6001609261266537,0.6000643704506614,HIGH,Streetlight,40.674926805854554,-73.78576261871277
74,22,0.6818181818181818,0.0,0.6818181818181818,0.2769935354881566,0.5198883232861717,HIGH,Drainage,40.588496037712865,-73.95141792000503
50,27,0.5555555555555556,0.0,0.5555555555555556,0.3359822915543652,0.4677262499550794,MEDIUM,Water Supply,40.63661440974138,-73.98425932097368
58,18,0.7777777777777778,0.05555555555555555,0.7777777777777778,0.0008285343132818999,0.46699808039197943,MEDIUM,Water Supply,40.7796769864849,-73.91667792162782
28,25,0.52,0.0,0.52,0.2805328536985467,0.4242131414794187,MEDIUM,Waste,40.69150532296523,-73.74211999053792
16,10,0.7,0.0,0.7,0.00043746969988069995,0.4201749878799523,MEDIUM,Water Supply,40.80768752172531,-73.91173987306854
5,22,0.3181818181818182,0.045454545454545456,0.3181818181818182,0.5459843690155183,0.40930283851529825,MEDIUM,Water Supply,40.59965646789343,-73.93621282114499
68,11,0.6363636363636364,0.0,0.6363636363636364,0.0007019970577992091,0.38209898064130143,MEDIUM,Water Supply,40.7085367516903,-73.78083150475891
98,5,0.6,0.0,0.6,0.00036587962247506005,0.36014635184899,MEDIUM,Water Supply,40.63218572244148,-73.92668253188815
69,14,0.07142857142857142,0.0,0.07142857142857142,0.7857863887549958,0.3571716983591412,MEDIUM,Pothole,40.72351862965537,-73.920307908418
45,18,0.1111111111111111,0.0,0.1111111111111111,0.7232907742616677,0.35598297637133375,MEDIUM,Water Supply,40.74201131798695,-73.93377824205271
6,175,0.5257142857142857,0.1657142857142857,0.5371428571428571,0.08671743921332666,0.3535441185424735,MEDIUM,Pothole,40.71527744565639,-73.95165123660598
33,23,0.391304347826087,0.043478260869565216,0.43478260869565216,0.2178531862564213,0.33496736145909023,MEDIUM,Pothole,40.76363717673614,-73.80485683729003
66,9,0.5555555555555556,0.0,0.5555555555555556,0.0004630054815810223,0.3335185355259657,MEDIUM,Pothole,40.69827027411448,-73.8350266157997
79,11,0.5454545454545454,0.09090909090909091,0.5454545454545454,0.0005258243059728273,0.3274830569951164,MEDIUM,Water Supply,40.618058770327345,-73.99020315020188
27,88,0.45454545454545453,0.03409090909090909,0.45454545454545453,0.11434294414232472,0.31846445038420257,MEDIUM,Water Supply,40.71128267996704,-73.80756088382005
